ts_iso,target,rtt_ms
2026-03-18T17:44:40.344940+00:00,1.1.1.1,10.8
2026-03-18T17:44:40.550485+00:00,1.1.1.1,12.4
2026-03-18T17:44:40.751497+00:00,1.1.1.1,12.2
2026-03-18T17:44:40.952294+00:00,1.1.1.1,12.2
2026-03-18T17:44:41.153319+00:00,1.1.1.1,12.1
2026-03-18T17:44:41.354314+00:00,1.1.1.1,12.2
2026-03-18T17:44:41.557634+00:00,1.1.1.1,11.9
2026-03-18T17:44:41.759815+00:00,1.1.1.1,12.3
2026-03-18T17:44:41.960731+00:00,1.1.1.1,12.2
2026-03-18T17:44:42.161901+00:00,1.1.1.1,12.4
2026-03-18T17:44:42.367384+00:00,1.1.1.1,12.0
2026-03-18T17:44:42.568212+00:00,1.1.1.1,11.5
2026-03-18T17:44:42.769813+00:00,1.1.1.1,12.3
2026-03-18T17:44:42.971749+00:00,1.1.1.1,12.0
2026-03-18T17:44:43.172542+00:00,1.1.1.1,12.1
2026-03-18T17:44:43.375549+00:00,1.1.1.1,11.6
2026-03-18T17:44:43.576433+00:00,1.1.1.1,11.5
2026-03-18T17:44:43.778565+00:00,1.1.1.1,11.9
2026-03-18T17:44:43.981231+00:00,1.1.1.1,12.2
2026-03-18T17:44:44.186521+00:00,1.1.1.1,11.9
2026-03-18T17:44:44.389392+00:00,1.1.1.1,14.7
2026-03-18T17:44:44.587243+00:00,1.1.1.1,11.6
2026-03-18T17:44:44.788768+00:00,1.1.1.1,12.4
2026-03-18T17:44:44.994430+00:00,1.1.1.1,17.4
2026-03-18T17:44:45.192476+00:00,1.1.1.1,14.8
2026-03-18T17:44:45.392109+00:00,1.1.1.1,13.4
2026-03-18T17:44:45.592944+00:00,1.1.1.1,13.5
2026-03-18T17:44:45.793786+00:00,1.1.1.1,13.6
2026-03-18T17:44:45.998286+00:00,1.1.1.1,17.2
2026-03-18T17:44:46.195788+00:00,1.1.1.1,13.7
2026-03-18T17:44:46.398237+00:00,1.1.1.1,13.5
2026-03-18T17:44:46.601209+00:00,1.1.1.1,13.7
2026-03-18T17:44:46.802427+00:00,1.1.1.1,13.7
2026-03-18T17:44:47.003533+00:00,1.1.1.1,13.7
2026-03-18T17:44:47.208349+00:00,1.1.1.1,13.6
2026-03-18T17:44:47.409391+00:00,1.1.1.1,13.8
2026-03-18T17:44:47.610131+00:00,1.1.1.1,13.6
2026-03-18T17:44:47.811148+00:00,1.1.1.1,13.6
2026-03-18T17:44:48.012080+00:00,1.1.1.1,13.7
2026-03-18T17:44:48.213000+00:00,1.1.1.1,13.5
2026-03-18T17:44:48.414011+00:00,1.1.1.1,13.7
2026-03-18T17:44:48.614851+00:00,1.1.1.1,13.5
2026-03-18T17:44:48.815591+00:00,1.1.1.1,13.5
2026-03-18T17:44:49.016504+00:00,1.1.1.1,13.7
2026-03-18T17:44:49.217491+00:00,1.1.1.1,13.7
2026-03-18T17:44:49.418266+00:00,1.1.1.1,13.5
2026-03-18T17:44:49.619008+00:00,1.1.1.1,13.5
2026-03-18T17:44:49.819798+00:00,1.1.1.1,13.5
2026-03-18T17:44:50.020612+00:00,1.1.1.1,13.6
2026-03-18T17:44:50.221651+00:00,1.1.1.1,13.8
2026-03-18T17:44:50.422612+00:00,1.1.1.1,13.7
2026-03-18T17:44:50.623299+00:00,1.1.1.1,13.4
2026-03-18T17:44:50.824184+00:00,1.1.1.1,13.6
2026-03-18T17:44:51.025076+00:00,1.1.1.1,13.6
2026-03-18T17:44:51.225854+00:00,1.1.1.1,13.5
2026-03-18T17:44:51.426669+00:00,1.1.1.1,13.5
2026-03-18T17:44:51.627594+00:00,1.1.1.1,13.7
2026-03-18T17:44:51.828630+00:00,1.1.1.1,13.8
2026-03-18T17:44:52.029550+00:00,1.1.1.1,13.6
2026-03-18T17:44:52.230557+00:00,1.1.1.1,13.8
2026-03-18T17:44:52.431466+00:00,1.1.1.1,13.7
2026-03-18T17:44:52.632375+00:00,1.1.1.1,13.7
2026-03-18T17:44:52.833098+00:00,1.1.1.1,13.4
2026-03-18T17:44:53.033913+00:00,1.1.1.1,13.5
2026-03-18T17:44:53.235875+00:00,1.1.1.1,13.8
2026-03-18T17:44:53.438014+00:00,1.1.1.1,13.7
2026-03-18T17:44:53.641279+00:00,1.1.1.1,13.6
2026-03-18T17:44:53.842661+00:00,1.1.1.1,13.4
2026-03-18T17:44:54.044014+00:00,1.1.1.1,13.6
2026-03-18T17:44:54.245530+00:00,1.1.1.1,13.8
2026-03-18T17:44:54.447265+00:00,1.1.1.1,13.6
2026-03-18T17:44:54.648814+00:00,1.1.1.1,13.7
2026-03-18T17:44:54.850338+00:00,1.1.1.1,13.9
2026-03-18T17:44:55.051259+00:00,1.1.1.1,13.5
2026-03-18T17:44:55.251971+00:00,1.1.1.1,13.4
2026-03-18T17:44:55.453303+00:00,1.1.1.1,13.6
2026-03-18T17:44:55.654779+00:00,1.1.1.1,13.8
2026-03-18T17:44:55.855640+00:00,1.1.1.1,13.4
2026-03-18T17:44:56.056575+00:00,1.1.1.1,13.7
2026-03-18T17:44:56.257883+00:00,1.1.1.1,13.7
2026-03-18T17:44:56.459099+00:00,1.1.1.1,13.9
2026-03-18T17:44:56.660184+00:00,1.1.1.1,13.7
2026-03-18T17:44:56.861284+00:00,1.1.1.1,13.4
2026-03-18T17:44:57.062517+00:00,1.1.1.1,13.6
2026-03-18T17:44:57.263346+00:00,1.1.1.1,13.6
2026-03-18T17:44:57.464168+00:00,1.1.1.1,13.5
2026-03-18T17:44:57.665061+00:00,1.1.1.1,13.6
2026-03-18T17:44:57.866853+00:00,1.1.1.1,14.5
2026-03-18T17:44:58.066745+00:00,1.1.1.1,13.6
2026-03-18T17:44:58.267632+00:00,1.1.1.1,13.6
2026-03-18T17:44:58.468382+00:00,1.1.1.1,13.5
2026-03-18T17:44:58.669161+00:00,1.1.1.1,13.5
2026-03-18T17:44:58.870261+00:00,1.1.1.1,13.8
2026-03-18T17:44:59.071000+00:00,1.1.1.1,13.5
2026-03-18T17:44:59.271844+00:00,1.1.1.1,13.6
2026-03-18T17:44:59.472740+00:00,1.1.1.1,13.6
2026-03-18T17:44:59.673608+00:00,1.1.1.1,13.6
2026-03-18T17:44:59.874522+00:00,1.1.1.1,13.6
