ts_iso,target,rtt_ms
2026-03-18T17:33:50.239554+00:00,192.168.1.85,52.2
2026-03-18T17:33:50.432625+00:00,192.168.1.85,43.9
2026-03-18T17:33:50.635325+00:00,192.168.1.85,45.2
2026-03-18T17:33:50.843633+00:00,192.168.1.85,52.2
2026-03-18T17:33:51.033811+00:00,192.168.1.85,41.3
2026-03-18T17:33:51.240581+00:00,192.168.1.85,47.2
2026-03-18T17:33:51.428841+00:00,192.168.1.85,34.1
2026-03-18T17:33:51.647118+00:00,192.168.1.85,50.7
2026-03-18T17:33:51.838760+00:00,192.168.1.85,40.4
2026-03-18T17:33:52.035539+00:00,192.168.1.85,36.1
2026-03-18T17:33:52.234612+00:00,192.168.1.85,33.4
2026-03-18T17:33:52.447529+00:00,192.168.1.85,45.2
2026-03-18T17:33:52.643803+00:00,192.168.1.85,39.4
2026-03-18T17:33:52.857170+00:00,192.168.1.85,51.6
2026-03-18T17:33:53.053279+00:00,192.168.1.85,46.8
2026-03-18T17:33:53.258687+00:00,192.168.1.85,50.2
2026-03-18T17:33:53.444054+00:00,192.168.1.85,34.5
2026-03-18T17:33:53.660813+00:00,192.168.1.85,50.2
2026-03-18T17:33:53.846440+00:00,192.168.1.85,35.4
2026-03-18T17:33:54.058321+00:00,192.168.1.85,45.3
2026-03-18T17:33:54.220276+00:00,192.168.1.85,1.54
2026-03-18T17:33:54.422480+00:00,192.168.1.85,2.4
2026-03-18T17:33:54.623049+00:00,192.168.1.85,1.69
2026-03-18T17:33:54.825182+00:00,192.168.1.85,2.34
2026-03-18T17:33:55.027369+00:00,192.168.1.85,2.37
2026-03-18T17:33:55.231756+00:00,192.168.1.85,2.22
2026-03-18T17:33:55.433145+00:00,192.168.1.85,2.28
2026-03-18T17:33:55.638101+00:00,192.168.1.85,2.38
2026-03-18T17:33:55.840074+00:00,192.168.1.85,2.35
2026-03-18T17:33:56.042025+00:00,192.168.1.85,2.29
2026-03-18T17:33:56.242621+00:00,192.168.1.85,2.22
2026-03-18T17:33:56.444256+00:00,192.168.1.85,2.33
2026-03-18T17:33:56.646371+00:00,192.168.1.85,2.4
2026-03-18T17:33:56.847899+00:00,192.168.1.85,2.4
2026-03-18T17:33:57.046981+00:00,192.168.1.85,0.878
2026-03-18T17:33:57.256530+00:00,192.168.1.85,1.02
2026-03-18T17:33:57.457738+00:00,192.168.1.85,1.15
2026-03-18T17:33:57.661361+00:00,192.168.1.85,1.06
2026-03-18T17:33:57.862527+00:00,192.168.1.85,1.5
2026-03-18T17:33:58.064289+00:00,192.168.1.85,2.06
2026-03-18T17:33:58.264624+00:00,192.168.1.85,1.87
2026-03-18T17:33:58.464985+00:00,192.168.1.85,1.72
2026-03-18T17:33:58.666285+00:00,192.168.1.85,1.86
2026-03-18T17:33:58.867495+00:00,192.168.1.85,1.95
2026-03-18T17:33:59.068552+00:00,192.168.1.85,2.32
2026-03-18T17:33:59.270508+00:00,192.168.1.85,2.25
2026-03-18T17:33:59.474892+00:00,192.168.1.85,2.37
2026-03-18T17:33:59.676224+00:00,192.168.1.85,2.28
2026-03-18T17:33:59.877032+00:00,192.168.1.85,2.15
2026-03-18T17:34:00.079007+00:00,192.168.1.85,1.09
2026-03-18T17:34:00.285033+00:00,192.168.1.85,2.41
2026-03-18T17:34:00.486247+00:00,192.168.1.85,2.22
2026-03-18T17:34:00.688101+00:00,192.168.1.85,2.15
2026-03-18T17:34:00.894016+00:00,192.168.1.85,2.27
2026-03-18T17:34:01.095170+00:00,192.168.1.85,2.28
2026-03-18T17:34:01.295427+00:00,192.168.1.85,1.68
2026-03-18T17:34:01.502125+00:00,192.168.1.85,2.4
2026-03-18T17:34:01.703437+00:00,192.168.1.85,2.39
2026-03-18T17:34:01.903358+00:00,192.168.1.85,1.37
2026-03-18T17:34:02.103693+00:00,192.168.1.85,1.14
2026-03-18T17:34:02.309292+00:00,192.168.1.85,1.3
2026-03-18T17:34:02.511057+00:00,192.168.1.85,1.68
2026-03-18T17:34:02.713044+00:00,192.168.1.85,2.19
2026-03-18T17:34:02.914042+00:00,192.168.1.85,2.22
2026-03-18T17:34:03.115440+00:00,192.168.1.85,1.93
2026-03-18T17:34:03.315855+00:00,192.168.1.85,1.89
2026-03-18T17:34:03.517283+00:00,192.168.1.85,1.94
2026-03-18T17:34:03.717646+00:00,192.168.1.85,1.7
2026-03-18T17:34:03.919631+00:00,192.168.1.85,2.17
2026-03-18T17:34:04.121689+00:00,192.168.1.85,2.36
2026-03-18T17:34:04.323062+00:00,192.168.1.85,1.85
2026-03-18T17:34:04.525826+00:00,192.168.1.85,2.35
2026-03-18T17:34:04.727674+00:00,192.168.1.85,2.3
2026-03-18T17:34:04.927062+00:00,192.168.1.85,1.74
2026-03-18T17:34:05.131578+00:00,192.168.1.85,2.11
2026-03-18T17:34:05.332759+00:00,192.168.1.85,2.33
2026-03-18T17:34:05.534650+00:00,192.168.1.85,2.24
2026-03-18T17:34:05.735854+00:00,192.168.1.85,2.49
2026-03-18T17:34:05.936858+00:00,192.168.1.85,2.23
2026-03-18T17:34:06.138582+00:00,192.168.1.85,2.58
2026-03-18T17:34:06.339494+00:00,192.168.1.85,2.42
2026-03-18T17:34:06.540599+00:00,192.168.1.85,2.34
2026-03-18T17:34:06.742067+00:00,192.168.1.85,1.99
2026-03-18T17:34:06.944008+00:00,192.168.1.85,2.29
2026-03-18T17:34:07.145295+00:00,192.168.1.85,2.33
2026-03-18T17:34:07.345793+00:00,192.168.1.85,1.95
2026-03-18T17:34:07.546705+00:00,192.168.1.85,2.35
2026-03-18T17:34:07.747032+00:00,192.168.1.85,1.87
2026-03-18T17:34:07.948132+00:00,192.168.1.85,1.84
2026-03-18T17:34:08.149425+00:00,192.168.1.85,1.94
2026-03-18T17:34:08.349608+00:00,192.168.1.85,1.83
2026-03-18T17:34:08.551152+00:00,192.168.1.85,1.97
2026-03-18T17:34:08.753439+00:00,192.168.1.85,2.54
2026-03-18T17:34:08.955165+00:00,192.168.1.85,2.29
2026-03-18T17:34:09.157225+00:00,192.168.1.85,2.32
2026-03-18T17:34:09.362690+00:00,192.168.1.85,2.08
2026-03-18T17:34:09.564443+00:00,192.168.1.85,2.02
2026-03-18T17:34:09.766293+00:00,192.168.1.85,2.2
2026-03-18T17:34:09.969343+00:00,192.168.1.85,2.1
2026-03-18T17:34:10.170150+00:00,192.168.1.85,2.2
2026-03-18T17:34:10.370989+00:00,192.168.1.85,2.08
2026-03-18T17:34:10.576171+00:00,192.168.1.85,2.41
2026-03-18T17:34:10.781818+00:00,192.168.1.85,2.17
2026-03-18T17:34:10.985996+00:00,192.168.1.85,2.23
