ts_iso,avg_cwnd_pkts,avg_rtt_ms,num_conns_with_cwnd
2026-03-18T17:35:26.315464+00:00,10.0,0.11,1
2026-03-18T17:35:26.526335+00:00,10.0,0.11,1
2026-03-18T17:35:26.736498+00:00,10.0,0.11,1
2026-03-18T17:35:26.943674+00:00,10.0,0.11,1
2026-03-18T17:35:27.147753+00:00,10.0,0.11,1
2026-03-18T17:35:27.351455+00:00,10.0,0.11,1
2026-03-18T17:35:27.554208+00:00,10.0,0.11,1
2026-03-18T17:35:27.757168+00:00,10.0,0.11,1
2026-03-18T17:35:27.962544+00:00,10.0,0.11,1
2026-03-18T17:35:28.176110+00:00,10.0,0.11,1
2026-03-18T17:35:28.386120+00:00,10.0,0.11,1
2026-03-18T17:35:28.598343+00:00,10.0,0.11,1
2026-03-18T17:35:28.804907+00:00,10.0,0.11,1
2026-03-18T17:35:29.015753+00:00,10.0,0.11,1
2026-03-18T17:35:29.226597+00:00,10.0,0.11,1
2026-03-18T17:35:29.435062+00:00,10.0,0.11,1
2026-03-18T17:35:29.645265+00:00,10.0,0.11,1
2026-03-18T17:35:29.855819+00:00,10.0,0.11,1
2026-03-18T17:35:30.065104+00:00,10.0,0.11,1
2026-03-18T17:35:30.276143+00:00,10.0,0.11,1
2026-03-18T17:35:30.489428+00:00,10.0,0.11,1
2026-03-18T17:35:30.699494+00:00,10.0,0.11,1
2026-03-18T17:35:30.908713+00:00,10.0,0.11,1
2026-03-18T17:35:31.117665+00:00,10.0,0.11,1
2026-03-18T17:35:31.327374+00:00,10.0,0.11,1
2026-03-18T17:35:31.540712+00:00,10.0,0.11,1
2026-03-18T17:35:31.751082+00:00,10.0,0.11,1
2026-03-18T17:35:31.961113+00:00,10.0,0.11,1
2026-03-18T17:35:32.163991+00:00,10.0,0.11,1
2026-03-18T17:35:32.366989+00:00,10.0,0.11,1
2026-03-18T17:35:32.575871+00:00,10.0,0.11,1
2026-03-18T17:35:32.786116+00:00,10.0,0.11,1
2026-03-18T17:35:32.995409+00:00,10.0,0.11,1
2026-03-18T17:35:33.205852+00:00,10.0,0.11,1
2026-03-18T17:35:33.415573+00:00,10.0,0.11,1
2026-03-18T17:35:33.625316+00:00,10.0,0.11,1
2026-03-18T17:35:33.835030+00:00,10.0,0.11,1
2026-03-18T17:35:34.044041+00:00,10.0,0.11,1
2026-03-18T17:35:34.253962+00:00,10.0,0.11,1
2026-03-18T17:35:34.464261+00:00,10.0,0.11,1
2026-03-18T17:35:34.675545+00:00,10.0,0.11,1
2026-03-18T17:35:34.889573+00:00,10.0,0.11,1
2026-03-18T17:35:35.099419+00:00,10.0,0.11,1
2026-03-18T17:35:35.307858+00:00,10.0,0.11,1
2026-03-18T17:35:35.519631+00:00,10.0,0.11,1
2026-03-18T17:35:35.730605+00:00,10.0,0.11,1
2026-03-18T17:35:35.938371+00:00,10.0,0.11,1
2026-03-18T17:35:36.146442+00:00,10.0,0.11,1
2026-03-18T17:35:36.356559+00:00,10.0,0.11,1
2026-03-18T17:35:36.567834+00:00,10.0,0.11,1
2026-03-18T17:35:36.777276+00:00,10.0,0.11,1
2026-03-18T17:35:36.987621+00:00,10.0,0.11,1
2026-03-18T17:35:37.197138+00:00,10.0,0.11,1
2026-03-18T17:35:37.406078+00:00,10.0,0.11,1
2026-03-18T17:35:37.616811+00:00,10.0,0.11,1
2026-03-18T17:35:37.823862+00:00,10.0,0.11,1
2026-03-18T17:35:38.035082+00:00,10.0,0.11,1
2026-03-18T17:35:38.245581+00:00,10.0,0.11,1
2026-03-18T17:35:38.456015+00:00,10.0,0.11,1
2026-03-18T17:35:38.665267+00:00,10.0,0.11,1
2026-03-18T17:35:38.873456+00:00,10.0,0.11,1
2026-03-18T17:35:39.081901+00:00,10.0,0.11,1
2026-03-18T17:35:39.293121+00:00,10.0,0.11,1
2026-03-18T17:35:39.504038+00:00,10.0,0.11,1
2026-03-18T17:35:39.712158+00:00,10.0,0.11,1
2026-03-18T17:35:39.927097+00:00,10.0,0.11,1
2026-03-18T17:35:40.137201+00:00,10.0,0.11,1
2026-03-18T17:35:40.347232+00:00,10.0,0.11,1
2026-03-18T17:35:40.555985+00:00,10.0,0.11,1
2026-03-18T17:35:40.765880+00:00,10.0,0.11,1
2026-03-18T17:35:40.976865+00:00,10.0,0.11,1
2026-03-18T17:35:41.185128+00:00,10.0,0.11,1
2026-03-18T17:35:41.395277+00:00,10.0,0.11,1
2026-03-18T17:35:41.605338+00:00,10.0,0.11,1
2026-03-18T17:35:41.816634+00:00,10.0,0.11,1
2026-03-18T17:35:42.026767+00:00,10.0,0.11,1
2026-03-18T17:35:42.230708+00:00,10.0,0.11,1
2026-03-18T17:35:42.436958+00:00,10.0,0.11,1
2026-03-18T17:35:42.639727+00:00,10.0,0.11,1
